Date,Close Price
29-Mar-2016,671.5
30-Mar-2016,683.85
31-Mar-2016,680.65
01-Apr-2016,679.9
04-Apr-2016,687.3
05-Apr-2016,668.75
06-Apr-2016,668.0
07-Apr-2016,662.5
08-Apr-2016,665.35
11-Apr-2016,671.3
12-Apr-2016,677.35
13-Apr-2016,692.35
18-Apr-2016,683.35
20-Apr-2016,687.15
21-Apr-2016,686.7
22-Apr-2016,676.1
25-Apr-2016,680.45
26-Apr-2016,700.85
27-Apr-2016,712.5
28-Apr-2016,701.45
29-Apr-2016,717.15
02-May-2016,718.2
03-May-2016,707.45
04-May-2016,712.65
05-May-2016,709.15
06-May-2016,702.95
09-May-2016,713.85
10-May-2016,722.85
11-May-2016,731.55
12-May-2016,726.75
13-May-2016,708.25
16-May-2016,718.25
17-May-2016,708.9
18-May-2016,708.9
19-May-2016,706.05
20-May-2016,702.15
23-May-2016,703.15
24-May-2016,698.4
25-May-2016,712.75
26-May-2016,730.2
27-May-2016,742.55
30-May-2016,742.6
31-May-2016,746.55
01-Jun-2016,745.35
02-Jun-2016,746.3
03-Jun-2016,769.3
06-Jun-2016,765.25
07-Jun-2016,772.05
08-Jun-2016,759.35
09-Jun-2016,752.75
10-Jun-2016,750.7
13-Jun-2016,755.9
14-Jun-2016,752.1
15-Jun-2016,765.55
16-Jun-2016,754.45
17-Jun-2016,751.1
20-Jun-2016,751.95
21-Jun-2016,746.75
22-Jun-2016,739.35
23-Jun-2016,747.25
24-Jun-2016,733.9
27-Jun-2016,739.4
28-Jun-2016,743.3
29-Jun-2016,752.8
30-Jun-2016,763.35
01-Jul-2016,753.4
04-Jul-2016,743.95
05-Jul-2016,740.4
07-Jul-2016,745.9
08-Jul-2016,743.45
11-Jul-2016,760.55
12-Jul-2016,763.65
13-Jul-2016,775.0
14-Jul-2016,780.2
15-Jul-2016,772.15
18-Jul-2016,776.8
19-Jul-2016,777.8
20-Jul-2016,782.2
21-Jul-2016,760.65
22-Jul-2016,760.05
25-Jul-2016,764.4
26-Jul-2016,751.7
27-Jul-2016,754.0
28-Jul-2016,750.35
29-Jul-2016,763.5
01-Aug-2016,753.15
02-Aug-2016,760.1
03-Aug-2016,756.2
04-Aug-2016,756.4
05-Aug-2016,774.35
08-Aug-2016,771.5
09-Aug-2016,764.75
10-Aug-2016,761.25
11-Aug-2016,764.65
12-Aug-2016,762.9
16-Aug-2016,772.8
17-Aug-2016,765.65
18-Aug-2016,784.4
19-Aug-2016,778.75
22-Aug-2016,772.85
23-Aug-2016,778.35
24-Aug-2016,777.0
25-Aug-2016,780.75
26-Aug-2016,780.8
29-Aug-2016,781.4
30-Aug-2016,786.15
31-Aug-2016,806.9
01-Sep-2016,810.7
02-Sep-2016,813.6
06-Sep-2016,818.05
07-Sep-2016,804.1
08-Sep-2016,819.75
09-Sep-2016,818.85
12-Sep-2016,813.3
14-Sep-2016,805.95
15-Sep-2016,808.6
16-Sep-2016,806.6
19-Sep-2016,802.85
20-Sep-2016,792.75
21-Sep-2016,788.4
22-Sep-2016,795.15
23-Sep-2016,796.15
26-Sep-2016,787.75
27-Sep-2016,784.45
28-Sep-2016,782.3
29-Sep-2016,772.6
30-Sep-2016,777.0
03-Oct-2016,788.05
04-Oct-2016,791.7
05-Oct-2016,782.15
06-Oct-2016,783.0
07-Oct-2016,782.65
10-Oct-2016,780.2
13-Oct-2016,772.35
14-Oct-2016,781.75
17-Oct-2016,769.25
18-Oct-2016,776.95
19-Oct-2016,774.0
20-Oct-2016,772.35
21-Oct-2016,781.5
24-Oct-2016,787.35
25-Oct-2016,786.55
26-Oct-2016,811.5
27-Oct-2016,806.6
28-Oct-2016,819.35
30-Oct-2016,819.65
01-Nov-2016,805.55
02-Nov-2016,804.0
03-Nov-2016,806.0
04-Nov-2016,799.65
07-Nov-2016,801.85
08-Nov-2016,811.8
09-Nov-2016,822.1
10-Nov-2016,819.25
11-Nov-2016,815.6
15-Nov-2016,789.55
16-Nov-2016,770.55
17-Nov-2016,776.25
18-Nov-2016,779.25
21-Nov-2016,762.7
22-Nov-2016,769.6
23-Nov-2016,766.15
24-Nov-2016,742.1
25-Nov-2016,752.15
28-Nov-2016,750.15
29-Nov-2016,745.4
30-Nov-2016,755.45
01-Dec-2016,744.95
02-Dec-2016,723.55
05-Dec-2016,729.8
06-Dec-2016,734.0
07-Dec-2016,734.35
08-Dec-2016,748.65
09-Dec-2016,745.25
12-Dec-2016,729.85
13-Dec-2016,730.95
14-Dec-2016,727.8
15-Dec-2016,724.75
16-Dec-2016,719.1
19-Dec-2016,719.65
20-Dec-2016,718.35
21-Dec-2016,719.8
22-Dec-2016,713.15
23-Dec-2016,711.75
26-Dec-2016,711.05
27-Dec-2016,712.15
28-Dec-2016,713.05
29-Dec-2016,713.4
30-Dec-2016,719.7
02-Jan-2017,714.8
03-Jan-2017,711.75
04-Jan-2017,695.6
05-Jan-2017,698.95
06-Jan-2017,716.85
09-Jan-2017,709.25
10-Jan-2017,712.65
11-Jan-2017,728.4
12-Jan-2017,727.95
13-Jan-2017,727.75
16-Jan-2017,731.2
17-Jan-2017,726.0
18-Jan-2017,731.1
19-Jan-2017,728.2
20-Jan-2017,723.05
23-Jan-2017,732.75
24-Jan-2017,743.35
25-Jan-2017,795.2
27-Jan-2017,785.05
30-Jan-2017,775.6
31-Jan-2017,774.15
01-Feb-2017,777.05
02-Feb-2017,770.4
03-Feb-2017,765.3
06-Feb-2017,766.7
07-Feb-2017,773.35
08-Feb-2017,767.6
09-Feb-2017,769.65
10-Feb-2017,778.9
13-Feb-2017,793.15
14-Feb-2017,790.3
15-Feb-2017,784.3
16-Feb-2017,792.5
17-Feb-2017,796.5
20-Feb-2017,797.05
21-Feb-2017,797.9
22-Feb-2017,795.85
23-Feb-2017,810.95
27-Feb-2017,800.5
28-Feb-2017,802.1
01-Mar-2017,824.15
02-Mar-2017,816.15
03-Mar-2017,809.5
06-Mar-2017,818.95
07-Mar-2017,817.0
08-Mar-2017,825.0
08-Mar-2017,824.9
09-Mar-2017,825.45
10-Mar-2017,828.9
14-Mar-2017,836.15
15-Mar-2017,844.15
16-Mar-2017,851.4
17-Mar-2017,848.25
20-Mar-2017,854.6
21-Mar-2017,859.55
22-Mar-2017,862.2
23-Mar-2017,860.0
23-Mar-2017,868.15
24-Mar-2017,860.0
24-Mar-2017,879.35
27-Mar-2017,867.0
27-Mar-2017,871.15
28-Mar-2017,859.45
29-Mar-2017,860.0
29-Mar-2017,857.6
30-Mar-2017,865.15
31-Mar-2017,872.2
03-Apr-2017,875.95
05-Apr-2017,889.85
06-Apr-2017,894.35
07-Apr-2017,873.1
10-Apr-2017,877.35
11-Apr-2017,881.05
12-Apr-2017,879.4
13-Apr-2017,879.5
17-Apr-2017,887.6
18-Apr-2017,881.65
19-Apr-2017,875.6
20-Apr-2017,889.15
21-Apr-2017,880.4
24-Apr-2017,895.75
25-Apr-2017,898.0
26-Apr-2017,900.35
27-Apr-2017,916.65
28-Apr-2017,901.95
02-May-2017,917.9
03-May-2017,916.95
04-May-2017,905.45
05-May-2017,908.3
08-May-2017,907.35
09-May-2017,906.85
10-May-2017,927.65
11-May-2017,936.8
12-May-2017,954.65
15-May-2017,973.3
16-May-2017,959.85
17-May-2017,951.2
18-May-2017,942.85
19-May-2017,937.35
22-May-2017,941.25
23-May-2017,940.25
24-May-2017,936.1
25-May-2017,956.5
26-May-2017,965.05
29-May-2017,968.55
30-May-2017,961.95
31-May-2017,966.05
01-Jun-2017,962.65
02-Jun-2017,965.25
05-Jun-2017,967.0
06-Jun-2017,966.4
07-Jun-2017,968.65
08-Jun-2017,978.85
09-Jun-2017,985.1
12-Jun-2017,976.7
13-Jun-2017,974.2
14-Jun-2017,968.05
15-Jun-2017,962.6
16-Jun-2017,982.65
19-Jun-2017,987.55
20-Jun-2017,983.05
21-Jun-2017,991.95
22-Jun-2017,997.9
23-Jun-2017,985.2
27-Jun-2017,974.75
28-Jun-2017,972.2
29-Jun-2017,948.35
30-Jun-2017,955.75
03-Jul-2017,948.85
04-Jul-2017,958.8
05-Jul-2017,959.85
06-Jul-2017,958.1
07-Jul-2017,964.7
10-Jul-2017,968.0
11-Jul-2017,958.75
12-Jul-2017,956.65
13-Jul-2017,962.1
14-Jul-2017,977.2
17-Jul-2017,979.7
18-Jul-2017,977.1
19-Jul-2017,994.2
20-Jul-2017,980.0
21-Jul-2017,999.45
24-Jul-2017,992.95
25-Jul-2017,987.95
26-Jul-2017,986.55
27-Jul-2017,998.15
28-Jul-2017,1012.7
31-Jul-2017,1021.65
01-Aug-2017,1015.3
02-Aug-2017,1010.9
03-Aug-2017,996.4
04-Aug-2017,996.2
07-Aug-2017,997.9
08-Aug-2017,987.7
09-Aug-2017,992.4
10-Aug-2017,996.8
11-Aug-2017,992.2
14-Aug-2017,982.6
16-Aug-2017,1000.55
17-Aug-2017,989.0
18-Aug-2017,983.55
21-Aug-2017,969.55
22-Aug-2017,970.8
23-Aug-2017,980.1
24-Aug-2017,972.1
28-Aug-2017,976.05
29-Aug-2017,964.4
30-Aug-2017,971.35
31-Aug-2017,976.0
01-Sep-2017,992.55
04-Sep-2017,978.1
05-Sep-2017,988.4
06-Sep-2017,996.15
07-Sep-2017,993.5
08-Sep-2017,1007.55
11-Sep-2017,1006.5
12-Sep-2017,1021.75
13-Sep-2017,1020.15
14-Sep-2017,1007.6
15-Sep-2017,1005.05
18-Sep-2017,1017.05
19-Sep-2017,1034.35
20-Sep-2017,1023.2
21-Sep-2017,1029.15
22-Sep-2017,1021.9
25-Sep-2017,999.5
26-Sep-2017,994.0
27-Sep-2017,979.6
28-Sep-2017,1005.25
29-Sep-2017,1002.25
03-Oct-2017,1006.55
04-Oct-2017,1029.45
05-Oct-2017,1032.8
06-Oct-2017,1039.5
09-Oct-2017,1049.95
10-Oct-2017,1055.65
11-Oct-2017,1043.85
12-Oct-2017,1057.6
13-Oct-2017,1082.35
16-Oct-2017,1082.5
17-Oct-2017,1078.6
18-Oct-2017,1095.9
19-Oct-2017,1077.75
23-Oct-2017,1061.55
24-Oct-2017,1065.7
25-Oct-2017,1010.55
26-Oct-2017,1018.9
27-Oct-2017,1029.0
30-Oct-2017,1028.9
31-Oct-2017,1025.05
01-Nov-2017,1024.35
02-Nov-2017,1019.55
03-Nov-2017,1015.5
06-Nov-2017,1009.75
07-Nov-2017,1013.3
08-Nov-2017,1011.4
09-Nov-2017,1005.35
10-Nov-2017,993.4
13-Nov-2017,994.7
14-Nov-2017,999.2
15-Nov-2017,1011.5
16-Nov-2017,1017.45
17-Nov-2017,1023.2
20-Nov-2017,1040.55
21-Nov-2017,1029.85
22-Nov-2017,1026.25
23-Nov-2017,1022.1
24-Nov-2017,1030.35
27-Nov-2017,1036.45
28-Nov-2017,1029.85
29-Nov-2017,1026.25
30-Nov-2017,1000.3
01-Dec-2017,1005.15
04-Dec-2017,997.95
05-Dec-2017,999.85
06-Dec-2017,999.65
07-Dec-2017,1001.6
08-Dec-2017,1009.0
11-Dec-2017,1008.5
12-Dec-2017,1000.4
13-Dec-2017,1014.9
14-Dec-2017,1024.65
15-Dec-2017,1030.1
18-Dec-2017,1023.2
19-Dec-2017,1021.35
20-Dec-2017,1012.7
21-Dec-2017,1010.55
22-Dec-2017,1010.05
26-Dec-2017,1016.25
27-Dec-2017,1014.05
28-Dec-2017,1004.75
29-Dec-2017,1010.2
01-Jan-2018,999.95
02-Jan-2018,1003.2
03-Jan-2018,1000.1
04-Jan-2018,1000.4
05-Jan-2018,1003.05
08-Jan-2018,1006.1
09-Jan-2018,1009.75
10-Jan-2018,1002.25
11-Jan-2018,1017.65
12-Jan-2018,1023.35
15-Jan-2018,1038.35
16-Jan-2018,1033.25
17-Jan-2018,1027.1
18-Jan-2018,1046.5
19-Jan-2018,1060.55
22-Jan-2018,1074.1
23-Jan-2018,1075.45
24-Jan-2018,1080.1
25-Jan-2018,1092.35
29-Jan-2018,1115.1
30-Jan-2018,1088.05
31-Jan-2018,1108.95
01-Feb-2018,1120.95
02-Feb-2018,1085.95
05-Feb-2018,1062.25
06-Feb-2018,1033.8
07-Feb-2018,1036.3
08-Feb-2018,1051.75
09-Feb-2018,1032.0
12-Feb-2018,1042.95
14-Feb-2018,1042.45
15-Feb-2018,1042.15
